Vehicules vendus,Vehicules vendus,,,,,,,,,0
DifforVert sas,DifforVert sas,Madame Caroline KOPPE,Madame Caroline KOPPE,Présidente,316 619 758 00014,Z.A. Le Gramont,,JONQUIERE,60150,0
Les Halles St Jean sas,Les Halles St Jean sas,Monsieur Jean Pierre MARTIN,Monsieur Jean Pierre MARTIN,Directeur Général,526 820 659 00039,31, rue de l'Industrie,Z.A.C de Thères. Z.I. n°2,BEAUVAIS,60000,0
Promer Ocean,Promer Ocean,Monsieur stephane BELLET,Monsieur stephane BELLET,Directeur Général,529 012 395 00016,25,rue de l'industrie,ZAC de Ther,BEAUVAIS,60000,0
RibéGroupe,RibéGroupe,Monsieur Yves LAVAIRE,Monsieur Yves LAVAIRE,Président du directoire,500 829 379 000 14,Z.A.C. la Grérie,,RIBECOURT-DRESLINCOURT,60170,0
RibéPrim sas,RibéPrim sas,Monsieur Jérôme LAVAIRE,Monsieur Jérôme LAVAIRE,Directeur Général,927 120 360 00031,Z.A.C. la Grérie,,RIBECOURT-DRESLINCOURT,60170,0
RibéTrans sarl,RibéTrans sarl,Monsieur Grégory GENTIEN,Monsieur Grégory GENTIEN,Responsable d'Exploitation,380 180 141 00018,Z.A.C. la Grérie,,RIBECOURT-DRESLINCOURT,60170,0
Rivoallon sarl,Rivoallon sarl,Monsieur Jérôme LAVAIRE Gérant,Monsieur Jérôme LAVAIRE Gérant,Représenté par Americo Di Pirro,489 145 771 00015,Marché de gros,Rue Santos Dumont,REIMS,51100,0
RODAFRUITS,RODAFRUITS,Jean-Marie Nirlo,Jean-Marie Nirlo,Directeur de site,809 169 998 00014,Rue du Commandant Bicheray,MIN de Rouen,ROUEN,76000,0
Sociéte nouvelle Ardennes Primeurs,Sociéte nouvelle Ardennes Primeurs,Monsieur Américo DI PIRRO,Monsieur Américo DI PIRRO,Responsable de site,927 120 360 00064,Z.A.C. du Moulin Leblanc,5, rue Mickaël Faraday,CHARLEVILLE-MEZIERES),08000,0
